Resource Type,Metric,Metric Display Name,Unit,Aggregation Type,Description,Enable for monitoring,Tag Name,Threshold,Operator,Eval Frequency,Window Size,Aggregation Time,Alert Name,Alert Description,Severity
Microsoft.AAD/DomainServices,\DirectoryServices(NTDS)\LDAP Searches/sec,NTDS - LDAP Searches/sec,"CountPerSecond","Average","This metric indicates the average number of searches per second for the NTDS object. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\DirectoryServices(NTDS)\LDAP Successful Binds/sec,NTDS - LDAP Successful Binds/sec,"CountPerSecond","Average","This metric indicates the number of LDAP successful binds per second for the NTDS object. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\DNS\Total Query Received/sec,DNS - Total Query Received/sec,"CountPerSecond","Average","This metric indicates the average number of queries received by DNS server in each second. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\DNS\Total Response Sent/sec,Total Response Sent/sec,"CountPerSecond","Average","This metric indicates the average number of reponses sent by DNS server in each second. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\Memory\% Committed Bytes In Use,% Committed Bytes In Use,"Percent","Average","This metric indicates the ratio of Memory\Committed Bytes to the Memory\Commit Limit. Committed memory is the physical memory in use for which space has been reserved in the paging file should it need to be written to disk. The commit limit is determined by the size of the paging file. If the paging file is enlarged the commit limit increases and the ratio is reduced. This counter displays the current percentage value only; it is not an average. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\Process(dns)\% Processor Time,% Processor Time (dns),"Percent","Average","This metric indicates the percentage of elapsed time that all of dns process threads used the processor to execute instructions. An instruction is the basic unit of execution in a computer a thread is the object that executes instructions and a process is the object created when a program is run. Code executed to handle some hardware interrupts and trap conditions are included in this count. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\Process(lsass)\% Processor Time,% Processor Time (lsass),"Percent","Average","This metric indicates the percentage of elapsed time that all of lsass process threads used the processor to execute instructions. An instruction is the basic unit of execution in a computer a thread is the object that executes instructions and a process is the object created when a program is run. Code executed to handle some hardware interrupts and trap conditions are included in this count. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\Processor(_Total)\% Processor Time,Total Processor Time,"Percent","Average","This metric indicates the percentage of elapsed time that the processor spends to execute a non-Idle thread. It is calculated by measuring the percentage of time that the processor spends executing the idle thread and then subtracting that value from 100%. (Each processor has an idle thread that consumes cycles when no other threads are ready to run). This counter is the primary indicator of processor activity and displays the average percentage of busy time observed during the sample interval. It should be noted that the accounting calculation of whether the processor is idle is performed at an internal sampling interval of the system clock (10ms). On todays fast processors % Processor Time can therefore underestimate the processor utilization as the processor may be spending a lot of time servicing threads between the system clock sampling interval. Workload based timer applications are one example of applications which are more likely to be measured inaccurately as timers are signaled just after the sample is taken. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\Security System-Wide Statistics\Kerberos Authentications,Kerberos Authentications,"CountPerSecond","Average","This metric indicates the number of times that clients use a ticket to authenticate to this computer per second. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AAD/DomainServices,\Security System-Wide Statistics\NTLM Authentications,NTLM Authentications,"CountPerSecond","Average","This metric indicates the number of NTLM authentications processed per second for the Active Directory on this domain contrller or for local accounts on this member server. It is backed by performance counter data from the domain controller and can be filtered or splitted by role instance.",,,,,,,,,,
Microsoft.AnalysisServices/servers,CleanerCurrentPrice,Memory: Cleaner Current Price,"Count","Average","Current price of memory $/byte/time normalized to 1000.",,,,,,,,,,
Microsoft.AnalysisServices/servers,CleanerMemoryNonshrinkable,Memory: Cleaner Memory nonshrinkable,"Bytes","Average","Amount of memory in bytes not subject to purging by the background cleaner.",,,,,,,,,,
